emoji,name,Depressed,Sad,Neutral,Happy,Excitement
✈,airplane,0.11,0.11,0.56,0.328,0.226
✊,raised fist,0.11,0.11,0.5,0.171,0.06
✋,raised hand,0.09,0.06,0.72,0.117,0.072
✌,victory hand,0,0,0.39,0.553,0.346
✔,check mark,0,0,0.64,0.173,0.056
✨,sparkles,0.036,0,0.47,0.479,0.476
❄,snowflake,0.158,0.14,0.67,0.295,0.244
❌,cross mark,0.274,0.31,0.42,0.042,0.048
❗,exclamation mark,0.32,0.17,0.19,0.182,0.518
❤,red heart,0,0,0.31,0.591,0.36
➡,right arrow,0,0,0.78,0.018,0
⬅,left arrow,0.14,0.14,0.83,0.042,0.018
⭐,star,0,0,0.61,0.324,0.258
